FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,28.281549,28.294618,0.000000,0.000000,0.000000,0.051911,0.051911
2,28.281549,28.391618,0.000000,0.000000,0.000000,0.051822,0.051822
3,28.281549,28.358860,0.000000,0.000000,0.000000,0.052056,0.052056
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,24.948215,25.015919,0.000000,0.000000,0.000000,0.076418,0.076418
2,24.948215,24.977018,0.000000,0.000000,0.000000,0.076353,0.076353
3,24.948215,24.888773,0.000000,0.000000,0.000000,0.076244,0.076244
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,21.614882,21.643386,0.000038,0.000000,0.000038,0.111916,0.111916
2,21.614882,21.790253,0.000036,0.000000,0.000036,0.112012,0.112012
3,21.614882,21.687079,0.000031,0.000000,0.000031,0.112350,0.112350
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,18.281549,18.315070,0.002249,0.000023,0.002246,0.166480,0.166444
2,18.281549,18.353822,0.002209,0.000008,0.002205,0.166195,0.166197
3,18.281549,18.358918,0.002078,0.000006,0.002077,0.164903,0.164903
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,14.948215,14.920027,0.021146,0.002116,0.021114,0.249296,0.249456
2,14.948215,14.963272,0.021293,0.002161,0.020911,0.247320,0.246971
3,14.948215,15.040495,0.020836,0.002128,0.020794,0.248235,0.248101
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,11.614882,11.593784,0.087235,0.047053,0.073910,0.451954,0.399505
2,11.614882,11.750363,0.087783,0.045278,0.074453,0.416739,0.401962
3,11.614882,11.692316,0.117070,0.062746,0.073303,1.152399,0.388801
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,8.281549,8.403051,0.284068,0.251111,0.152324,2.867561,0.590012
2,8.281549,8.348578,0.224857,0.162899,0.151860,3.364688,0.584550
3,8.281549,8.293329,0.159765,0.098579,0.152224,0.715249,0.632519
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,4.948215,4.869409,0.258720,0.179508,0.241319,2.032667,1.018305
2,4.948215,4.655810,0.260503,0.178174,0.242375,2.502471,1.060387
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,8.281549,8.285704,0.162246,0.097506,0.154108,0.613870,0.609884
2,8.281549,8.343983,0.186649,0.118704,0.151634,2.095260,0.595717
3,8.281549,8.334720,0.167181,0.102254,0.152047,1.001327,0.608205
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,5.781549,5.809414,0.225890,0.148138,0.218041,1.053463,0.885105
2,5.781549,5.865871,0.228797,0.151563,0.219368,1.370642,0.912270
3,5.781549,5.710098,0.312228,0.265165,0.218960,3.978770,0.924232
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,3.281549,0.980989,0.459307,0.486738,0.437055,4.061831,3.606273
2,3.281549,2.712611,0.434461,0.450469,0.311971,4.567771,1.716924
3,3.281549,3.400839,0.300817,0.214218,0.287974,2.110363,1.493665
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
1,0.781549,-2.691321,0.482329,0.495198,0.484150,5.513416,5.860966
2,0.781549,0.890010,0.440124,0.439534,0.360992,5.695529,2.360379
3,0.781549,0.121005,0.468285,0.487297,0.428521,5.541409,4.176947
FolderID, SNR, MS_SNR,BER,FEC_BER,ID_BER,RMSE, ID_RMSE,
3,-1.718451,-15.080079,0.498826,0.498360,0.499460,7.346103,5.865523
